OWNER_ID,AGE,GENDER,CITY_ID,CITY_DISTRICT,BREED1,BREED1_MIX,BREED2,RACE_TYPE,DOGS_YEAR_OF_BIRTH,DOGS_COLOR,AGE_YEARS,BREED_REDUCED_Beagle,BREED_REDUCED_Berner Sennenhund,BREED_REDUCED_Bolonka Zwetna,BREED_REDUCED_Border Collie,BREED_REDUCED_Cairn Terrier,BREED_REDUCED_Chihuahua,BREED_REDUCED_Cocker Spaniel,BREED_REDUCED_Dachshund,BREED_REDUCED_Dackel,BREED_REDUCED_Deutscher Schäfer,BREED_REDUCED_Französische Bulldogge,BREED_REDUCED_Golden Retriever,BREED_REDUCED_Jack Russel Terrier,BREED_REDUCED_Labrador Retriever,BREED_REDUCED_Malteser,BREED_REDUCED_Mischling gross,BREED_REDUCED_Mischling klein,BREED_REDUCED_Mops,BREED_REDUCED_Other,BREED_REDUCED_Pekingese,BREED_REDUCED_Pinscher,BREED_REDUCED_Pudel,BREED_REDUCED_Schäfer,BREED_REDUCED_Shih Tzu,BREED_REDUCED_Terrier,BREED_REDUCED_West Highland White Terrier,BREED_REDUCED_Yorkshire Terrier,BREED_REDUCED_Zwergpinscher,BREED_REDUCED_Zwergpudel,BREED_REDUCED_Zwergspitz
87899,61-70,w,-0.12932821143190995,-0.14488948517676026,Cairn Terrier,,,K,2004,brindle,0.08496742919506839,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87900,51-60,m,0.7918053761137348,0.7336573676968525,Dackel,,Terrier,K,2003,schwarz/braun/weiss,0.105127625530019,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87905,51-60,w,-0.43637274061379155,-0.4175419567582263,Coton de Tulear,,,K,2004,weiss,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
87908,71-80,m,-1.664550857341318,-1.6293307193425197,West Highland White Terrier,,,K,2004,weiss,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
87909,31-40,m,-1.3575063281594362,-1.3263835286964465,Golden Retriever,,,I,2009,braun,-0.015833552479684706,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87913,41-50,w,1.405894434477498,1.3395517489889992,Shih Tzu,,,K,2005,gold/weiss,0.06480723286011776,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
87913,41-50,w,1.405894434477498,1.3395517489889992,Zwergpudel,,,K,2009,braun,-0.015833552479684706,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
87913,41-50,w,1.405894434477498,1.3395517489889992,Mischling klein,,,K,2008,braun/schwarz,0.004326643855265913,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
87913,41-50,w,1.405894434477498,1.3395517489889992,Zwergpudel,,,K,2010,schwarz,-0.035993748814635323,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
87913,41-50,w,1.405894434477498,1.3395517489889992,Mittelpudel,,,K,2012,schwarz,-0.07631414148453655,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
87916,71-80,w,0.48476084693185323,0.4610048961153865,Prager Rattler,,,K,2003,schwarz,0.105127625530019,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
87919,31-40,w,-0.7434172697956731,-0.7810785855335144,Podenco Ibicenco,,,I,2004,weiss/braun,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
87924,61-70,m,1.405894434477498,1.3395517489889992,Appenzeller Sennenhund,,,I,2014,tricolor,-0.1166345341544378,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
87929,41-50,w,0.48476084693185323,0.4610048961153865,Mops,,,K,2009,beige,-0.015833552479684706,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
87931,51-60,w,1.0988499052956164,1.2789623108597845,Labrador Retriever,,Golden Retriever,I,2004,gelb,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87932,51-60,m,0.7918053761137348,0.7639520867614599,Riesenschnauzer,,,I,2004,schwarz,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
87938,61-70,m,0.7918053761137348,0.7336573676968525,Golden Retriever,,,I,2004,golden,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87940,71-80,m,-0.12932821143190995,-0.08430004704754558,Labrador Retriever,Mischling,,I,2005,schwarz,0.06480723286011776,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87941,71-80,w,-0.12932821143190995,-0.08430004704754558,Border Terrier,,,K,2004,blue/tan,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
87942,41-50,m,-1.0504617989775547,-1.0537310571149805,Schäfer,Mischling,,I,2000,schwarz/braun,0.16560821453487085,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
87943,51-60,w,-1.3575063281594362,-1.3263835286964465,Golden Retriever,,,I,2004,beige,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
